brand,model,mileage,fuel_type,gearbox,year_of_production,photo_link
BMW,BMW Seria 5,190 000 km,Benzyna,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBkZnNrNWZqdzQyOTItT1RPTU9UT1BMIn0.yJImUUbtCIqwI6eWPZBfVY5OM256lurUMgPPft7wGRs/image
BMW,BMW X5 4.0d xDrive,180 000 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVzbmxuNWt0M3dyZzItT1RPTU9UT1BMIn0.nc-O2GJGdTvRLAX_1XQBiXdauNzxkdZOIkrGZ9xTqOo/image
BMW,BMW M3,5 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImkyNzFveW1zNHEzYjItT1RPTU9UT1BMIn0.nl2GnH7ZWmNWs_jA_PaulYtTYXpxrJSt3L-Lfiq3_D4/image;s=644x461
BMW,BMW Seria 3 318d Advantage,82 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFycDRpcW53eDQzci1PVE9NT1RPUEwifQ.aF8GiETD81T6u6frXj6py-q4abxEjfPmyCvnQbL7TRI/image
BMW,BMW Seria 7 750Ld xDrive,85 205 km,Diesel,Automatyczna,2020 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRpY2R3N2JkeDdvdTEtT1RPTU9UT1BMIn0.airgrWHWEAkdoG5owELYj0uUcjr_p15bgIQQUQ_qN4E/image
BMW,BMW X3,1 km,Hybryda,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJ0N3YyeWpreWV0MS1PVE9NT1RPUEwifQ.c74GyBUq_xzFPwjXMIRDRvdaZDpPk_BfGoELFFvWjPk/image;s=644x461
BMW,BMW i4 M50,1 km,Elektryczny,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImR6dWFvNGF5eXEybC1PVE9NT1RPUEwifQ.VBEaEUL4203biaVMDXjokR3d620FDowso0bUWOzkYvs/image;s=644x461
BMW,BMW Seria 3 320d xDrive,33 231 km,Diesel,Automatyczna,2022 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc5NHM0OWdoZGl3ajEtT1RPTU9UT1BMIn0.rZjaNrAQfhBSmILLBB3DzECWzT0DGai6KBZaIpV_Tmw/image;s=644x461
BMW,BMW Seria 5,267 000 km,Benzyna,Automatyczna,2000 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNvdmxhMDdhdnFobTEtT1RPTU9UT1BMIn0.ofVUc6k8hS-pXPmXXiQKM2rS36NkGmtNtPyncG-M0b4/image
BMW,BMW X1 xDrive23i mHEV sport,5 km,Hybryda,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx3d3R0bHJsdWp4dDMtT1RPTU9UT1BMIn0.mdKLNU0dpmjPeyq4WnGFuCaVnO5BoXqsIbVcjOu9ujE/image;s=644x461
BMW,BMW Seria 7 740i,51 276 km,Benzyna,Automatyczna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNsOXhseWg3eThhdjItT1RPTU9UT1BMIn0.fJnCQUfPpbmUfaYY8HcrQy3vVbWFFcoVHwzwoSLOgdY/image
BMW,BMW Seria 5,289 876 km,Benzyna,Manualna,2004 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN0bDAyd2UwcGlwaC1PVE9NT1RPUEwifQ.A2FgDH-YRr0Kk3FFxgUFfPOoNRHpWgjskhwCI5yBeB4/image
BMW,BMW X1,5 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlodWd4dzFhczB1MDEtT1RPTU9UT1BMIn0.CcFQyrdUoLgm3f42x7IJ5z3X2Av3FZv7nLM8pgDbpVQ/image;s=644x461
BMW,BMW Seria 2 218d M Sport sport,1 km,Diesel,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp6MHR2Njd5bHgxNzEtT1RPTU9UT1BMIn0.MflFGtoqRLO4DT6E5CHBtsktO1D98CchY7RErCR2W5s/image;s=644x461
BMW,BMW Seria 3,22 147 km,Diesel,Automatyczna,2022 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx4YTdkY2NkazNpZzMtT1RPTU9UT1BMIn0.yJQ4x9LXKYMuZkt43_UMXHS3vrmwWT_Q2_2LHMIqbLs/image;s=644x461
BMW,BMW X6,70 650 km,Benzyna,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjM5bmN5bDl1bDFodTMtT1RPTU9UT1BMIn0.zFRj1YtwZIVFqn_661PNOHfSFhITvUc5R6CHLH66D-c/image;s=644x461
BMW,BMW X5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRwbTV5N2plNHN4NjEtT1RPTU9UT1BMIn0.55_T1lJftdcJhs040D2kMRyEjfBC3aYY-vkTgiKkDuU/image;s=644x461
BMW,BMW X3,57 415 km,Hybryda,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN5cnl6ZXI4NnE3MTEtT1RPTU9UT1BMIn0.eK2xjUmMIdflNR5coz2196IE_rUN9lit5Uznu2oOnqA/image;s=644x461
BMW,BMW Seria 3,195 000 km,Diesel,Manualna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAwcngzcjJrcW5hOS1PVE9NT1RPUEwifQ.m8kFsYxGs2jLT7FC-Ksv5O5_yAauc_pn_GuuLBX5Wbo/image
BMW,BMW Seria 7 740i,360 000 km,Benzyna,Automatyczna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjYwdzJsODd2cHlzcC1PVE9NT1RPUEwifQ.hhSVF17BOAzKfiKnZ4FcCLsrAetClMTWkU1HXKjueIE/image
BMW,BMW Seria 5 530d,187 500 km,Diesel,Automatyczna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI1dHg3Z2x2MzRydjMtT1RPTU9UT1BMIn0.FaswcS3Cd1PWWQGOG7pw_J0Tf7rySDzOqDSXMYRscTg/image
BMW,BMW Seria 4 435iCoupe xDrive M Sport,125 000 km,Benzyna,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNwejZmZjZxaWxnMDMtT1RPTU9UT1BMIn0.f4bVX_XUCtFJaf57s007Wr03tntuc2QZEcg_iLkDx2g/image
BMW,BMW Seria 3 320i,5 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNnczlkZ3dkeml3dDMtT1RPTU9UT1BMIn0.UfwZ5dN0ZfWvdSuh-1JMz8NUxG7ROj1vHk9QdRQDA9I/image;s=644x461
BMW,BMW Seria 5 520d,229 626 km,Diesel,Manualna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp5bTdpaTI1aDM5cTEtT1RPTU9UT1BMIn0.IU8X-6e_tYjSHTfTKCeM1BCQZu7hQhI_6vTTGNsaK98/image
BMW,BMW X1,18 500 km,Benzyna,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU3eGk4bnUxNXJuejEtT1RPTU9UT1BMIn0.XQS1E4ma5XUQAeaOZeKqMHwRXq8B8XzeX9lorUIh5VI/image
BMW,BMW Seria 3 320d Touring xDrive,156 000 km,Diesel,Manualna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ5cTJ2YW83ZjBvZjMtT1RPTU9UT1BMIn0.2M87c1xpe0LlQHEy1xP7q-SuhT0waqq2-jXkd77ukEQ/image
BMW,BMW Seria 7 740iL,249 868 km,Benzyna+LPG,Automatyczna,2000 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVlYjMwejI5MXIzajEtT1RPTU9UT1BMIn0.F3Dciq63xuBH29POtaZwWNBAhk7EbEos89fL4I_Tmiw/image
BMW,BMW Seria 3 330xi,241 290 km,Benzyna+LPG,Automatyczna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd2ZzM1dDNzMW1zcy1PVE9NT1RPUEwifQ.DB3QugsJoBrY35xajlDhK-aZ9CY30uHZJr7-P2uAhfc/image
BMW,BMW X4,12 900 km,Diesel,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1kNnduZWYzaHl5YTMtT1RPTU9UT1BMIn0.6Wpjtvy4qwlqgoAExr9v9raU1lxBWUsHXNNmATr5TOE/image;s=644x461
BMW,BMW Seria 7,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVzNGV1ZTZsbzNybC1PVE9NT1RPUEwifQ.32biY6hoD5uGz9EODDlq7dIKZ1u3xRJrLIqMgz-v83s/image;s=644x461
BMW,BMW Seria 3 320d xDrive M Sport sport,154 000 km,Diesel,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlhcWV4cXFzNXFzNzMtT1RPTU9UT1BMIn0.dHIsPVAH6tsRJ0jKUfJ1vzfQMVXNVpdvEf4tIPQMpFo/image
BMW,BMW X7,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt6cXI1ODJjNWZpMTEtT1RPTU9UT1BMIn0.hWjfHTRFi3lQSgabuKIvOujLssYo_dvGrJt2uOBM-KQ/image;s=644x461
BMW,BMW Seria 3,4 100 km,Benzyna,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFuYjl3ejBlM2czYjItT1RPTU9UT1BMIn0.HMUZFcsnB8-sGAnebC6l0xa5CgttLU6JSkRuM1aDhxs/image;s=644x461
BMW,BMW i8 Coupe,44 700 km,Hybryda Plug-in,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVlZHcybGhweGU4cTItT1RPTU9UT1BMIn0.uOaj-8992hqh9LZ0qSSrFzN7jGv31Va_f2uMvH1vvJk/image;s=644x461
BMW,BMW X5 3.0d xDrive,192 000 km,Diesel,Automatyczna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE2YTNhaW9xd2dicDEtT1RPTU9UT1BMIn0.QPDRFE6tD2rgfHlly3Y09xgAkOxxFNx3KbEEwA4TqUk/image
BMW,BMW Seria 3 330e M Sport,21 250 km,Hybryda Plug-in,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1zbmhyaXU4N2p5MTMtT1RPTU9UT1BMIn0.SvB402g1yo0oYtOfQFMxoxH-wwKbxBV3JMKE-GJdyq8/image
BMW,BMW Seria 3,281 725 km,Diesel,Automatyczna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN1aWdvaWdpbHZiOTMtT1RPTU9UT1BMIn0.LFZcop1R2KPRX1Hr9I8BerXYC3-nc7eIoVuP-bi3NtU/image
BMW,BMW Seria 5,392 000 km,Diesel,Automatyczna,2004 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRjZ2h3ZnZreHRlODMtT1RPTU9UT1BMIn0.4jyeSqZFkeUrSCPSISVhF44v9Q3CDK9Zz7AUEbCbMQc/image
BMW,BMW X5 xDrive40i xLine,55 111 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM2cWNtbXBuMjVhNDMtT1RPTU9UT1BMIn0.r6BemzEQTdtaLAkVdTai4YiMMcxXh6IO9PVIeE3bC_Q/image
BMW,BMW X1,1 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt2cnR1MXE5cjlnYy1PVE9NT1RPUEwifQ.w5EsRtJjmkAizKKLDkZfb-OqIv1RQhf7yzT9cRbQLsc/image;s=644x461
BMW,BMW Seria 4 430i Gran Coupe M Sport,102 000 km,Benzyna,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNoZGhxYXdxOXBqczMtT1RPTU9UT1BMIn0.9FGXjVvMgllLfnxyuEkK1G_QWj9T-DyAVUJZ7wkJroA/image
BMW,BMW X1 xDrive18d,211 370 km,Diesel,Automatyczna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh6bnExNmQ1OXFpMTItT1RPTU9UT1BMIn0.o7Evwp40hBEkpbF6ePqjfw3rH2kotcyhcq5hnM4P9o4/image
BMW,BMW X5 xDrive25d,130 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVkZnZsZmhvYm9vczEtT1RPTU9UT1BMIn0.GNPtlTtrOH7b8ckFMavTO8seziA-jNe8ZhJa1cRCc00/image
BMW,BMW Seria 3 320d,267 000 km,Diesel,Manualna,2009 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJzejlxYTdvYTUwZC1PVE9NT1RPUEwifQ.NfaCA1a8kSnrwxHJeBsbOMuQ4lYRtXIQzBQW5QA-r0Y/image
BMW,BMW X5 4.0d xDrive,225 272 km,Diesel,Automatyczna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJ1YXh1MzE2d25rZDMtT1RPTU9UT1BMIn0.h4Ja5oc0FEUIytsNLTJHAzvEG_XP2N_zOjv0Pheal8w/image
BMW,BMW Seria 3 318i M Sport,1 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk5eGplcG9ya252Ni1PVE9NT1RPUEwifQ.C6olG0y_AFpTKcQJZOj4TdK_pE9QJgDcwk_iDIwi1mk/image;s=644x461
BMW,BMW Seria 1,138 000 km,Benzyna,Manualna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZucHhpNmtpeHpjMTItT1RPTU9UT1BMIn0.aaUnuCaZ3szoy7cc7c7lvh-6q5NJRT-UUxWMkkgvvlw/image
BMW,BMW Seria 3 318d,270 000 km,Diesel,Manualna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBvbmFmemlxNjFqcTItT1RPTU9UT1BMIn0.q-ePIE5agMBOfP2CkRpEJT3fDl5DzJq5dLaAfT5DgWs/image
BMW,BMW Seria 2,1 km,Benzyna,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg5bTZ6MXdpMWNrYi1PVE9NT1RPUEwifQ.4A2t13D6n5ZoXredBZkTOloNYKWS9aVSP7ENIvYS7sM/image;s=644x461
BMW,BMW Seria 2,10 000 km,Benzyna,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjM0NG1neDUyMmt5MTMtT1RPTU9UT1BMIn0.kaqUe8b5CvRkWV4IDaNzjs2KfTGdhFIiJOjVcdySWQk/image;s=644x461
BMW,BMW X6 M50d,214 608 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1mNG8wY2V4dXdtOC1PVE9NT1RPUEwifQ.5nL41D6jNq0s8htlAhjutGqRjHWhUVusI7OGyfvnaSs/image
BMW,BMW X3 xDrive20d,199 000 km,Diesel,Automatyczna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRjcXF0OWRkeTY0bTItT1RPTU9UT1BMIn0.IJtf1wxfC6ikZ4NVYu1dGGVwiWz2elMzbIOyGdmr1KQ/image
BMW,BMW X3 xDrive28i xLine,147 813 km,Benzyna,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ5MTk4YjZqMmZkejItT1RPTU9UT1BMIn0.BX6VC590ERr8eN7R7kECNYVuhoh8FVedKQSHn0NESYU/image
BMW,BMW X3 xDrive20d M Sport,95 000 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjA5aGhscmJyeTZjMDEtT1RPTU9UT1BMIn0.oWKurhp5tjJLhsKNM5zjXhE-pHu3zBH8ZMpszrjVWo8/image
BMW,BMW Seria 5 520d,268 150 km,Diesel,Manualna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM2MW0yNWsxYnNrOC1PVE9NT1RPUEwifQ.vukpAlY_77KJS0pbPDUZ9Eat4Zlkafu4N2xRDrxk2RE/image
BMW,BMW Seria 3 325d DPF Touring,368 800 km,Diesel,Manualna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9sbnBrd2h0MnF3cDMtT1RPTU9UT1BMIn0.PxO3YMgoxgqmSitYbMisZEcDNs6_0PiuPIGQm1gYnvM/image
BMW,BMW Seria 1 116i,210 000 km,Benzyna,Manualna,2009 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNqMm5xN3Z6OXdpazMtT1RPTU9UT1BMIn0.s553H3utnIU_Yd9l35OSTVvbYcfQH8UkVIpfuPlDrNI/image
BMW,BMW Seria 1,163 000 km,Benzyna,Automatyczna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImsxMzZtOWZjeHFvaTEtT1RPTU9UT1BMIn0.DGB3OwBxjWXmeMZKUEibCbGDDe4GRnQCyaH4RMY0ejE/image
BMW,BMW Seria 3 320i GPF xDrive Sport Line,30 000 km,Benzyna,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJjeHo4cnQ1cWRucDMtT1RPTU9UT1BMIn0.USMqxYf3jOcexQ6_1YcTCwC364ZE5g0x066kbYmTUkU/image
BMW,BMW X5 xDrive40i,112 113 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImttcGl5YnJpNGVqODItT1RPTU9UT1BMIn0.BAVYi4Umssi8PaFPLc8L5HMscKuActdNfUMgiGqcgSY/image
BMW,BMW Seria 8 M850i xDrive,6 500 km,Benzyna,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFpbmd2eG1tcG5qMzMtT1RPTU9UT1BMIn0.r8iDhr7tYNeTJZBYP-xpwMNf2Oen24x1zrECrTR_fgI/image
BMW,BMW Seria 5 530d Touring,345 550 km,Diesel,Automatyczna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVhMWY1OHZ4Nmw5YzEtT1RPTU9UT1BMIn0.E25-5OPGG07mtnAhPG3dpjFQ9aCkNUkzszBCPYNdLZw/image
BMW,BMW Seria 3 320d Blue Performance Luxury Line,125 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkaHY4NG00NGlzbi1PVE9NT1RPUEwifQ.YBPnB0NKSWh__Wya1cC2W_O5v_hM5Z9rhpGm5iRW1Yk/image
BMW,BMW Seria 5 520d xDrive Luxury Line,190 000 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyc3ozYW42a2c4czEtT1RPTU9UT1BMIn0.FQN_a9Hgog60vu1xJcX2ZpFfIf_Q-ZxdZOGmdW6MEh0/image
