brand,model,mileage,fuel_type,gearbox,year_of_production,photo_link
BMW,BMW Seria 5 530d Touring,345 550 km,Diesel,Automatyczna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVhMWY1OHZ4Nmw5YzEtT1RPTU9UT1BMIn0.E25-5OPGG07mtnAhPG3dpjFQ9aCkNUkzszBCPYNdLZw/image
BMW,BMW Seria 3 320d Blue Performance Luxury Line,125 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkaHY4NG00NGlzbi1PVE9NT1RPUEwifQ.YBPnB0NKSWh__Wya1cC2W_O5v_hM5Z9rhpGm5iRW1Yk/image
BMW,BMW Seria 5 520d xDrive Luxury Line,190 000 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyc3ozYW42a2c4czEtT1RPTU9UT1BMIn0.FQN_a9Hgog60vu1xJcX2ZpFfIf_Q-ZxdZOGmdW6MEh0/image
BMW,BMW X5 4.0d xDrive,210 000 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjU3YnRxNWxldm1qbC1PVE9NT1RPUEwifQ.10HiEHSUzXQfkfl7fImKEKB22dyWB5Z4r8UP713mNe4/image
BMW,BMW X3 xDrive20d,217 536 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind0aGRtb3pjeGd2ZTEtT1RPTU9UT1BMIn0.Vb0F4J1ewJKdJEhiMmiHArPbMqQ9i4LvVCkg-niX288/image
BMW,BMW X1 sDrive18d,168 574 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVpZHp4eTU4c24xNDEtT1RPTU9UT1BMIn0.__RYWrbiyX5kWsBa2KWQs0akHqKUDvD4DhOKm2l_xAc/image
BMW,BMW X3 xDrive20d,130 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im00a2ZlZm9oOG52OTEtT1RPTU9UT1BMIn0.c42qySF9B1csSUQWKuPuxnizYa03Nyqf9vY2DzHC5VU/image
BMW,BMW X3 xDrive35i M Sport sport,110 000 km,Benzyna,Automatyczna,2015 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQwZzYyYnRiZHJmaTEtT1RPTU9UT1BMIn0.VQwxM18uopN6m8BRlQAH7Hf-51dHRckm1DZAziy6-SQ/image
BMW,BMW X5,18 000 km,Hybryda Plug-in,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5mOHE3YnlpbHkzYTMtT1RPTU9UT1BMIn0.T-VGhr_vHu6i523o350K9z-G0cxXCKebT3_9pHOBdtI/image
BMW,BMW X6 xDrive30d,101 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE2NWZpdm5ubjc2azMtT1RPTU9UT1BMIn0.IzlNFjW0P8PMcN-xsKkXOMWEbY4FRciQF8xtVgq6zrY/image
BMW,BMW Seria 4 435i Modern Line sport,190 000 km,Benzyna,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5oY203MTZ1NTZndS1PVE9NT1RPUEwifQ.ntfwmUfnoYk7Sio1UlY9yjstYWg4Q9UucdlsuGwa_98/image
BMW,BMW Seria 1 116d EfficientDynamics Sport Line,245 000 km,Diesel,Manualna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJhZzFjN2Eydms0czEtT1RPTU9UT1BMIn0.39SLnb679Klt5bRjSrd6zEaafVogER45xSXBIQj_5e0/image
BMW,BMW Seria 3 320d xDrive Luxury Line,61 500 km,Diesel,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM5dGdpeHJlNzBpejEtT1RPTU9UT1BMIn0.6yoGV1vkvibp3UMeORImoUm67vtsAkJdWosspkwtFsk/image
BMW,BMW i3 i3S 120 Ah,41 000 km,Elektryczny,Automatyczna,2020 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNqNmNxcGxkdnNiZDItT1RPTU9UT1BMIn0.oBicSZVqCduTYkyuJ1n-eZ1Zcu1avdt7-FQiI5iwY70/image
BMW,BMW Seria 3,199 900 km,Benzyna,Automatyczna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNqMXc2cXg5MXd3OTEtT1RPTU9UT1BMIn0.srD6AFgf5nYMu70Rt4LtnqB_KVvO7uoQUtTT7sHWNZc/image
BMW,BMW Seria 3 330i xDrive Sport Line,155 000 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims3YmtxZm5oMDE5Mi1PVE9NT1RPUEwifQ.JtheippX1Cv9asZ2YLgh3AKGnkkYrxgiKra7j3fZsmk/image
BMW,BMW X5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InEwZGViaGV4MXBrNTItT1RPTU9UT1BMIn0.rhLyd2yt7-6r518tsRfpadCBudCCsFhzHJW9TJcUvcI/image;s=644x461
BMW,BMW X5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE0aGx0dmhsYmd3YTMtT1RPTU9UT1BMIn0.QkWj5lAKPC_tLO5RR-XbP65yYj9qfFPoVHVE2nd2_OI/image;s=644x461
BMW,BMW Seria 5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijc5dnJmOXNvNmtjMjMtT1RPTU9UT1BMIn0.GEgG5aK1n7xcRlw1gGZ45SdXsNk5FcUmLbrxd5fZKHE/image;s=644x461
BMW,BMW X5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InA2am5ueXM5dmw3ZzItT1RPTU9UT1BMIn0.PS-NIHNnqOFxl__4QskASjezYtAZBvcITYcUNBPgMuc/image;s=644x461
BMW,BMW X5 3.0sd xDrive,94 377 km,Diesel,Automatyczna,2009 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind5a3g4MTVkbW5zYS1PVE9NT1RPUEwifQ.E5oCw_R0rtc13mycuv2SlkBD4Bh0oLXjbVPnTOk8S5I/image
BMW,BMW X6 xDrive40d M Sport,91 065 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt4a2UyYzVwMG1kNC1PVE9NT1RPUEwifQ.iyXdR6scmsXHwiDs4C05wJ82CdjCay3twfX2JF4Fn8U/image
BMW,BMW X3 xDrive30d Sport-Aut M Sport,274 000 km,Diesel,Automatyczna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjE5eGF4YmtxNWZnczMtT1RPTU9UT1BMIn0.ISYaUwtq81qZchyo1DVBGFHqHGzLnNaZKXlslHr_2w4/image
BMW,BMW Seria 5,291 000 km,Diesel,Automatyczna,2004 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1tMTg2ZXRmZWhnNDMtT1RPTU9UT1BMIn0.S6_WjAJ4JzeRiD5WctCqKo3BPJDmFMeaS80N7W6GbLc/image
BMW,BMW X5 4.0d xDrive,219 000 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtlNHlwbDRwb3dmdS1PVE9NT1RPUEwifQ.I_OMYHufq30qUZUo78TPexn1AKOcE4CDqFciFs9xJR4/image
BMW,BMW Seria 3 330i xDrive M Sport Sport,90 700 km,Benzyna,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVqb2hlZzgyczR5OTEtT1RPTU9UT1BMIn0.-_o8DMnx6KCSfMLME_W9b2LjtwsE7hPhboVJOS63pnI/image
BMW,BMW Seria 4 420d M Sport,100 699 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImozMzZmc3Zjemk1ci1PVE9NT1RPUEwifQ.u0EKMo8USgwwypFMmZSMkPyY62dKwvExO9uT73Jk3L4/image
BMW,BMW Seria 1 116i,266 000 km,Benzyna,Manualna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp6eHlyeDlzM2JxczEtT1RPTU9UT1BMIn0.9JzL5dMXq0JIXyy6GTiISr3YUEcJgtjVJXeXRSE1fCU/image
BMW,BMW Seria 2 220d Active Tourer M Sport,99 000 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9hZjRsNW5hZXF1MjEtT1RPTU9UT1BMIn0.D1IImBX-dULtXck_BOW0nsJhhMAgqsz9XU6bfCVZ1v8/image
BMW,BMW Seria 6 650i Gran Coupe,135 000 km,Benzyna,Automatyczna,2015 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im85azJoN29qdnpiMDItT1RPTU9UT1BMIn0.lisqlt7elqus2UKbMRfqmm8rxQ8NKAOR-szf8HOb0Qc/image
BMW,BMW X3 xDrive30d M Sport sport,353 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ2dXlsM2U3aDFieDEtT1RPTU9UT1BMIn0.x1GU5-vM-cNfRadFF5bgMcDquHShrDysUnjGKCuzhbs/image
BMW,BMW Z3 1.8,190 000 km,Benzyna,Manualna,1996 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlvbjA3Z3pxY3B3eDEtT1RPTU9UT1BMIn0.ZZe7INvQ7QrtqN66OcjVxV4no2wwZ5DCEzpAR8_LmEg/image
BMW,BMW 6GT,77 000 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im81dHhxc3Vyajc2dTEtT1RPTU9UT1BMIn0.RWI042L989xHNvWIXlZOK3flfn0-k7Qia94idssmWvM/image
BMW,BMW Seria 7 730d,201 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InloamI0MDNwMTUyZzEtT1RPTU9UT1BMIn0.TIpbD7Q0EvLALvYGVtHuLoPwdHOWgcP0xxRZfvakNvo/image
BMW,BMW X5 xDrive25d,366 000 km,Diesel,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndncmptbTN3YXEzZy1PVE9NT1RPUEwifQ.z-gkoOsuhBNkl6ua541ikr8WJAN0C3xBl8u37QoMl0w/image
BMW,BMW Seria 3 330d DPF Cabrio M Sport Edition,250 000 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRhN29wdmdxZ2lnaS1PVE9NT1RPUEwifQ.5y0mDlp-LTCMHV3EG6UKAmAj2kluMKRSUAEpxbHc_Nk/image
BMW,BMW Seria 5 530i GPF Sport Line sport,33 000 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlxYjk3dmVqa2t0cDItT1RPTU9UT1BMIn0.knxZE7zbJlI7xeAhSOWwwtlunjiRmkfdN2xJCl-vkFc/image
BMW,BMW Seria 1,76 600 km,Benzyna,Automatyczna,2020 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1qNmpqcTh3YjI0YTEtT1RPTU9UT1BMIn0.qoItGhuzJwC0yZ--t-tyKkQGW2jkGtly6xAWktYu6cU/image;s=644x461
BMW,BMW X5 xDrive30d,98 500 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im85NjEza3BibnB3OTMtT1RPTU9UT1BMIn0.yFl7RDsHyhL7wQwvtr-G2SLIE1p0gqsxPZLtPM75ibA/image
BMW,BMW Seria 1 116i,173 100 km,Benzyna,Manualna,2009 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImR6djR0MjZseGd0NDEtT1RPTU9UT1BMIn0.0BFPntubclvbcpw2RmJ5QePavtJt0M3xg5BHqcGy7p8/image
BMW,BMW Seria 5 520d xDrive,151 000 km,Diesel,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI2aHFmZjlzeHR5aS1PVE9NT1RPUEwifQ.A9waXQ_N8DtEatjX4BzDaTsw9tdAsxTKSp3OwjSHWq4/image
BMW,BMW M3,93 000 km,Benzyna,Automatyczna,2010 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjltamI0amdhMmRpcjMtT1RPTU9UT1BMIn0.o7ZxWi0BjwDRz-NMW7cPwKyGSnwTjXCghqDKuZL3wkY/image
BMW,BMW Seria 2 218i M Sport,13 000 km,Benzyna,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN4MGNpczA4aW5rci1PVE9NT1RPUEwifQ.C8k6BkqhXT3XBuXFziCHyndGwB9RRlz7sqLD5JulcBc/image
BMW,BMW Seria 7 750Ld xDrive,144 300 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpqaHNzeHgycGdtZTMtT1RPTU9UT1BMIn0.QArGHGZCCjr1RluvDtxLGfLWLleAwmMT4lO8Icf4mes/image
BMW,BMW Seria 3 318i,132 000 km,Benzyna,Manualna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im13N2ZwczRvcTMxejEtT1RPTU9UT1BMIn0.sbpREWeTiDar8I0Y-0IOX0HQnlLhMYoe6yRxRItbfR4/image
BMW,BMW Seria 1 116i,191 394 km,Benzyna+LPG,Manualna,2004 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY3aDRiMXZ2Y2hxejEtT1RPTU9UT1BMIn0.w3VrwTxNvMmlBNhRQ2uK_7lUhkY13fhFW-Wop_k9_wI/image
BMW,BMW Seria 1 114d Advantage,188 158 km,Diesel,Manualna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndoZWk5OGxjaXV6ZTItT1RPTU9UT1BMIn0.4fPTgghUQs177y89OZgSU09rSo5weTEKm86gukgN2GE/image
BMW,BMW X4 xDrive20d xLine,190 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVidzVsdTZsd2RxdzEtT1RPTU9UT1BMIn0.iGNay9wfoKIkFDYztI6TKTrtz9Vw9DSs7NCgKi-t0WY/image
BMW,BMW X7 M50d sport,74 000 km,Diesel,Automatyczna,2022 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRocDJnNHV0cm8xNzMtT1RPTU9UT1BMIn0.1i-puhkhhDw94HMbSk0mfuoKGqOh7GcljBdy662qy8o/image
BMW,BMW Seria 5 530i,138 863 km,Benzyna,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlsOHczOXc1am10czMtT1RPTU9UT1BMIn0.dYY0NUvrPUHxqSRYL3Y_iXAiHY-B7B9BlNcaDP65YY0/image
BMW,BMW Seria 3,56 800 km,Diesel,Automatyczna,2022 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1oemk3NDF3cjJ2ZzEtT1RPTU9UT1BMIn0.HBUcii92-e98VLXGReO7DQJ2VtyLRuRjM9g3J1N95os/image
BMW,BMW Seria 3 330i Touring Edition M Sport Shadow,141 000 km,Benzyna,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijl0cWphd3dha3E1djEtT1RPTU9UT1BMIn0.b-ZtltDF23haVREpggWgq7PBornisN74VfyCBavRar0/image
BMW,BMW Seria 2 214d Active Tourer Luxury Line,92 000 km,Diesel,Manualna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im40MGFqNGJyZW1qOTEtT1RPTU9UT1BMIn0.DuCRFAqWaGrCzpYyLHwO7KCe6iORhNNpvPW-rqZoYMU/image
BMW,BMW Seria 5 520d xDrive Sport,154 500 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNqazZ5cGdoMmYyMTEtT1RPTU9UT1BMIn0.vilc18Iw3og-kMdLiyHU67K2D8BrkPV_2mNzpTtW3Pw/image
BMW,BMW Z3 3.0i,217 000 km,Benzyna,Manualna,2002 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQweHU3a3NrejB6djItT1RPTU9UT1BMIn0.RZi-ChyB5jgLsNqlUyF45_RH4PccaHPvKzNGYLYZXHc/image
BMW,BMW Seria 1 M135i,119 000 km,Benzyna,Manualna,2015 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU1Yzg2MTM0MGhhbzEtT1RPTU9UT1BMIn0.jIDrydPtcSO0Citkako6pNH3w-ukRlLRemMiZZAdkyo/image
BMW,BMW X1,120 131 km,Benzyna,Automatyczna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRjdjVpZ2pld2s0bDEtT1RPTU9UT1BMIn0._9UnjZh9H7YJaeAxYP3qKzeYSFW_cjnAPlJ49mDDLbo/image
BMW,BMW i3 (60 Ah),58 000 km,Elektryczny,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhmaDVoZXB2c2VxYzEtT1RPTU9UT1BMIn0.u3pK27JyPBnvJ0nlU9imgRvemfCfeOUR79A0Qm_cdyc/image
BMW,BMW Seria 5 528i,438 200 km,Benzyna,Manualna,1999 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdrczltanFkMTAwZzItT1RPTU9UT1BMIn0.sD0UScmoU4AnBHwZCUYATwErzDtjmkNasXzH4HHUMsc/image
BMW,BMW i3 94 Ah,40 000 km,Elektryczny,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMxcDBtMzU1OHNkOTMtT1RPTU9UT1BMIn0.ZjAcFdDhkQ3JD4I1VZrek2VyhUEmX_nsXBawhDeIIcc/image;s=644x461
BMW,BMW X5 xDrive25d,235 000 km,Diesel,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im82ZnFzNXMwOGJuMjMtT1RPTU9UT1BMIn0.yyd8rG-8kXk3oRdYNCsY41wWAxBnWvAqb32w3gth-p8/image
BMW,BMW X4 xDrive20i xLine,107 122 km,Benzyna,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVla3c3dm16aXExOC1PVE9NT1RPUEwifQ.gHN0D_jaP8W8nMlU__8XQakWpBuPaO6m5-fkwHQRdLs/image
BMW,BMW X6 xDrive30d,7 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ0cmc3bGthYmN1ajEtT1RPTU9UT1BMIn0.PJgWq0teMPtzA5r61YzqAOpSKFYGL5yUgC3v5KV7m7I/image
BMW,BMW Seria 5 520d Touring Edition Sport,295 000 km,Diesel,Manualna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjluZ3FqbjJoanI1ODEtT1RPTU9UT1BMIn0.mrWltTXnUdb7MVnEanfHHEYX3B4QW70QrPH2Y0x1Auo/image
